mara-netto;mara-brutto;half-netto;half-brutto;tenkm-netto;tenkm-brutto;fivekm-netto;fivekm-brutto;two-netto;two-brutto
02:13:30;02:13:30.205000;01:01:42;01:01:42.132000;00:29:19;00:29:19.157000;00:14:59;00:14:59.224000;00:10:24;00:10:24.179000;00:01:07
03:49:58;03:50:00.256000;01:12:33;01:12:34.447000;00:31:26;00:31:27.731000;00:18:50;00:15:16.447000;00:14:23;00:10:26.358000;00:02:02
03:04:27;03:04:31.306000;01:15:47;01:15:49.762000;00:33:38;00:33:41.304000;00:24:34;00:15:23.671000;00:21:07;00:11:59.538000;00:02:17
03:59:30;03:59:36.357000;01:25:23;01:25:27.077000;00:34:31;00:34:35.877000;00:15:35;00:15:57.894000;00:19:30;00:12:08.717000;00:02:25
02:21:16;02:21:24.408000;01:22:23;01:22:28.393000;00:35:32;00:35:38.451000;00:18:53;00:16:13.118000;00:14:01;00:13:38.896000;00:02:33
02:28:35;02:28:45.458000;01:09:58;01:10:04.708000;00:36:11;00:36:19.024000;00:18:09;00:16:13.342000;00:15:34;00:13:41.075000;00:02:44
02:34:55;02:35:07.509000;01:27:57;01:28:05.023000;00:36:36;00:36:45.597000;00:19:12;00:16:38.565000;00:20:09;00:13:45.255000;00:02:52
02:54:44;02:54:58.560000;01:28:44;01:28:53.338000;00:36:56;00:37:07.171000;00:31:44;00:17:20.789000;00:18:43;00:14:03.434000;00:02:59
03:23:49;03:24:05.611000;01:36:20;01:36:30.654000;00:37:23;00:37:35.744000;00:21:50;00:17:47.012000;00:19:31;00:14:05.613000;00:03:07
04:14:30;04:14:48.661000;01:29:49;01:30:00.969000;00:37:49;00:38:03.318000;00:16:10;00:17:48.236000;00:23:04;00:14:15.792000;00:03:13
02:23:49;02:24:09.712000;01:32:18;01:32:31.284000;00:38:26;00:38:41.891000;00:30:41;00:18:52.460000;00:22:43;00:14:24.971000;00:03:17
03:06:18;03:06:40.763000;01:56:27;01:56:41.600000;00:38:44;00:39:01.464000;00:31:35;00:19:18.683000;00:17:54;00:15:22.151000;00:03:20
