mara1;mara2;half1;half2;ten1;ten2
02:11:47;02:11:50;01:01:42;01:01:42;00:29:19;00:29:19
02:13:30;02:13:30;01:02:23;01:02:24;00:29:26;00:29:26
02:13:30;02:13:30;01:02:31;01:02:32;00:29:27;00:29:27
02:15:27;02:28:59;01:03:25;01:03:25;00:29:30;00:29:30
02:17:31;02:31:02;01:05:41;01:05:42;00:29:30;00:29:30
02:17:45;02:31:18;01:06:05;01:06:05;00:30:28;00:30:28
02:18:08;02:18:18;01:06:28;01:06:29;00:30:57;00:30:57
02:19:54;02:19:57;01:06:33;01:06:34;00:31:10;00:31:10
02:20:09;02:20:09;01:06:54;01:06:55;00:31:13;00:31:13
02:20:09;02:20:09;01:07:49;01:07:50;00:31:19;00:31:19
02:20:45;02:20:49;01:07:59;01:07:59;00:31:26;00:31:26
02:21:05;02:21:09;01:08:11;01:08:11;00:31:39;00:31:39
02:21:16;02:21:20;01:08:29;01:08:29;00:32:12;00:32:12
02:23:44;02:23:45;01:08:30;01:08:31;00:32:13;00:32:13
02:23:44;02:23:45;01:08:36;01:08:36;00:32:19;00:32:19
02:23:49;02:23:58;01:08:40;01:08:42;00:32:47;00:32:47
02:23:49;02:23:58;01:08:45;01:08:45;00:32:56;00:32:56
02:24:22;02:24:26;01:08:45;01:08:47;00:32:56;00:32:56
02:24:43;02:24:56;01:09:01;01:09:01;00:32:59;00:32:59
02:25:20;02:25:24;01:09:03;01:09:04;00:32:59;00:32:59
02:25:22;02:38:54;01:09:09;01:09:09;00:33:38;00:33:38
02:25:32;02:25:32;01:09:32;01:09:36;00:33:40;00:33:40
02:25:32;02:25:32;01:09:58;01:09:59;00:33:48;00:33:48
02:25:42;02:25:55;01:10:07;01:10:10;00:33:51;00:33:51
02:26:00;02:26:04;01:10:33;01:10:35;00:34:01;00:34:01
02:26:21;02:26:31;01:11:15;01:11:17;00:34:02;00:34:02
02:26:33;02:26:37;01:11:35;01:11:36;00:34:09;00:34:09
02:26:33;02:26:37;01:12:05;01:12:06;00:34:21;00:34:21
02:26:35;02:26:39;01:12:05;01:12:06;00:34:24;00:34:24
02:26:35;02:26:39;01:12:18;01:12:20;00:34:25;00:34:25
02:26:36;02:26:37;01:12:33;01:12:33;00:34:31;00:34:31
02:26:36;02:26:37;01:12:33;01:12:36;00:34:32;00:34:32
02:27:00;02:27:04;01:12:51;01:13:09;00:34:32;00:34:32
02:27:00;02:27:04;01:13:02;01:13:02;00:34:39;00:34:39
02:27:12;02:27:23;01:13:17;01:13:23;00:34:40;00:34:40
02:27:19;02:27:23;01:13:31;01:13:33;00:34:48;00:34:48
02:27:38;02:27:42;01:14:18;01:14:21;00:35:15;00:35:15
02:27:44;02:27:59;01:14:20;01:14:24;00:35:15;00:35:15
02:28:08;02:28:17;01:14:23;01:14:25;00:35:18;00:35:18
02:28:08;02:28:17;01:14:25;01:14:27;00:35:25;00:35:25
02:28:12;02:28:17;01:14:32;01:14:36;00:35:32;00:35:32
02:28:35;02:28:40;01:14:38;01:14:39;00:35:37;00:35:37
02:28:39;02:28:44;01:14:39;01:14:42;00:35:41;00:35:41
02:28:39;02:28:56;01:14:46;01:14:48;00:35:43;00:35:43
02:28:39;02:28:56;01:14:59;01:15:00;00:35:48;00:35:48
02:28:46;02:28:51;01:15:02;01:15:04;00:35:52;00:35:52
02:28:48;02:29:01;01:15:07;01:15:08;00:35:53;00:35:54
02:28:54;02:29:11;01:15:47;01:15:48;00:35:55;00:35:56
02:28:55;02:29:17;01:15:51;01:15:55;00:35:55;00:35:56
02:29:05;02:29:16;01:16:00;01:16:03;00:36:00;00:36:01
02:29:26;02:29:37;01:16:07;01:16:11;00:36:11;00:36:12
02:29:45;02:29:56;01:16:08;01:16:09;00:36:12;00:36:13
02:29:51;02:30:02;01:16:12;01:16:16;00:36:12;00:36:13
02:30:41;02:30:54;01:16:16;01:16:19;00:36:12;00:36:13
02:30:47;02:31:02;01:16:23;01:16:28;00:36:15;00:36:16
02:30:49;02:30:54;01:16:30;01:16:33;00:36:22;00:36:23
02:30:52;02:30:57;01:16:33;01:16:33;00:36:25;00:36:26
02:31:04;02:31:09;01:16:40;01:16:43;00:36:25;00:36:26
02:31:04;02:31:09;01:16:45;01:16:48;00:36:27;00:36:28
02:31:13;02:31:37;01:17:02;01:17:07;00:36:28;00:36:29
02:31:30;02:31:48;01:17:04;01:17:08;00:36:36;00:36:37
