mara-netto;mara-brutto;half-netto;half-brutto;tenkm-netto;tenkm-brutto;fivekm-netto;fivekm-brutto;twofive-netto;twofive-brutto
02:20:09;02:20:09.253000;01:03:25;01:03:25.189000;00:29:26;00:29:26.198000;00:15:15;00:15:15.234000;00:10:26;00:10:26.281000
02:25:32;02:25:32.379000;01:06:05;01:06:05.283000;00:29:27;00:29:27.297000;00:15:24;00:15:24.351000;00:11:59;00:11:59.422000
02:35:57;02:35:57.505000;01:07:59;01:07:59.377000;00:29:30;00:29:30.396000;00:15:42;00:15:42.467000;00:12:08;00:12:08.562000
02:41:34;02:41:34.632000;01:08:11;01:08:11.472000;00:29:30;00:29:30.495000;00:15:43;00:15:43.584000;00:13:38;00:13:38.703000
02:46:29;02:46:29.758000;01:08:29;01:08:29.566000;00:30:28;00:30:28.594000;00:16:01;00:16:01.701000;00:13:40;00:13:40.843000
03:04:36;03:04:36.885000;01:08:36;01:08:36.660000;00:30:57;00:30:57.693000;00:16:10;00:16:10.818000;00:13:44;00:13:44.984000
03:07:04;03:07:05.011000;01:08:45;01:08:45.755000;00:31:10;00:31:10.792000;00:17:12;00:17:12.935000;00:14:02;00:14:03.125000
03:16:54;03:16:55.137000;01:09:01;01:09:01.849000;00:31:13;00:31:13.891000;00:17:19;00:17:20.052000;00:14:04;00:14:05.265000
03:33:26;03:33:27.264000;01:09:09;01:09:09.943000;00:31:19;00:31:19.990000;00:17:23;00:17:24.168000;00:14:14;00:14:15.406000
03:49:58;03:49:59.390000;01:12:33;01:12:34.038000;00:31:26;00:31:27.089000;00:17:24;00:17:25.285000;00:14:23;00:14:24.546000
03:51:23;03:51:24.516000;01:13:02;01:13:03.132000;00:31:39;00:31:40.188000;00:17:31;00:17:32.402000;00:15:20;00:15:21.687000
02:23:44;02:23:45.643000;01:16:33;01:16:34.226000;00:32:12;00:32:13.287000;00:18:09;00:18:10.519000;00:15:54;00:15:55.827000
02:26:36;02:26:37.769000;01:35:16;01:35:17.321000;00:32:13;00:32:14.385000;00:14:13;00:14:14.636000;00:15:58;00:15:59.968000
02:37:40;02:37:41.896000;01:22:04;01:22:05.415000;00:32:19;00:32:20.484000;00:16:03;00:16:04.753000;00:17:55;00:17:57.108000
02:41:11;02:41:13.022000;01:17:13;01:17:14.509000;00:32:47;00:32:48.583000;00:16:10;00:16:11.869000;00:18:06;00:18:08.249000
02:44:35;02:44:37.148000;01:17:40;01:17:41.604000;00:32:56;00:32:57.682000;00:17:44;00:17:45.986000;00:18:35;00:18:37.390000
02:45:47;02:45:49.275000;01:06:28;01:06:29.698000;00:32:56;00:32:57.781000;00:18:29;00:18:31.103000;00:18:44;00:18:46.530000
02:48:57;02:48:59.401000;01:06:33;01:06:34.792000;00:32:59;00:33:00.880000;00:18:30;00:18:32.220000;00:19:40;00:19:42.671000
02:55:50;02:55:52.527000;01:06:54;01:06:55.887000;00:32:59;00:33:00.979000;00:17:12;00:17:14.337000;00:21:06;00:21:08.811000
